strain,cell_area(um^2)
yHRWh39,48.652
yHRWh39,58.486
yHRWh39,49.428
yHRWh39,64.826
yHRWh39,42.829
yHRWh39,30.537
yHRWh39,25.49
yHRWh39,NA
yHRWh39,NA
yHRWh4,71.684
yHRWh4,50.075
yHRWh4,41.147
yHRWh4,68.449
yHRWh4,94.069
yHRWh4,35.842
yHRWh4,56.933
yHRWh4,57.968
yHRWh4,44.641
yHRWh4,36.23
yHRWh4,68.708
yHRWh4,69.096
yHRWh4,23.291
yHRWh4,59.133
yHRWh4,64.696
yHRWh4,101.703
yHRWh4,32.219
yHRWh4,54.474
yHRWh4,71.425
yHRWh4,150.484
yHRWh4,62.626
yHRWh4,50.593
yHRWh4,54.474
yHRWh4,29.372
yHRWh4,31.572
yHRWh4,43.605
yHRWh4,77.118
yHRWh4,36.489
yHRWh4,62.497
yHRWh4,74.401
yHRWh4,60.815
yHRWh4,22.903
yHRWh4,39.465
yHRWh4,83.717
yHRWh4,85.658
yHRWh4,32.219
yHRWh4,26.396
yHRWh4,61.85
yHRWh4,50.463
yHRWh4,44.382
yHRWh4,61.979
yHRWh4,65.732
yHRWh4,62.109
yHRWh4,35.454
yHRWh4,79.059
yHRWh4,66.12
yHRWh4,48.911
yHRWh4,51.887
yHRWh4,134.18
yHRWh4,32.995
yHRWh4,48.393
yHRWh4,67.026
yHRWh4,48.264
yHRWh4,42.7
yHRWh4,75.565
yHRWh4,56.933
yHRWh4,171.316
yHRWh4,70.519
yHRWh4,47.746
yHRWh4,105.585
yHRWh4,74.272
yHRWh4,57.321
yHRWh4,53.31
yHRWh4,77.506
yHRWh4,63.403
yHRWh4,119.818
yHRWh4,47.487
yHRWh4,72.848
yHRWh4,70.131
yHRWh4,102.091
yHRWh4,27.173
yHRWh4,105.973
yHRWh4,31.701
yHRWh4,26.267
yHRWh4,NA
yHRWh4,NA
yHRWh4,NA
yHRWh4,NA
yHRWh56,78.541
yHRWh56,68.319
yHRWh56,92.516
yHRWh56,78.412
yHRWh56,63.403
yHRWh56,64.567
yHRWh56,79.577
yHRWh56,89.669
yHRWh56,87.728
yHRWh56,51.628
yHRWh56,78.541
yHRWh56,109.596
yHRWh56,76.859
yHRWh56,71.942
yHRWh56,75.048
yHRWh56,88.893
yHRWh56,87.599
yHRWh56,67.155
yHRWh56,65.085
yHRWh56,95.751
yHRWh56,116.065
yHRWh56,64.826
yHRWh56,89.799
yHRWh56,65.99
yHRWh56,80.094
yHRWh56,64.955
yHRWh56,72.072
yHRWh56,67.155
yHRWh56,81.388
yHRWh56,69.484
yHRWh56,74.272
yHRWh56,91.481
yHRWh56,64.049
yHRWh56,92.775
yHRWh56,87.081
yHRWh56,93.551
yHRWh56,61.979
yHRWh56,30.925
yHRWh56,25.49
yHRWh56,167.046
yHRWh56,84.752
yHRWh56,96.656
yHRWh56,72.201
yHRWh56,82.553
yHRWh56,68.319
yHRWh56,60.556
yHRWh56,78.541
yHRWh56,81.129
yHRWh56,106.232
yHRWh56,86.046
yHRWh56,81.259
yHRWh56,74.401
yHRWh56,71.813
yHRWh56,74.918
yHRWh56,90.446
yHRWh56,61.72
yHRWh56,60.685
yHRWh56,71.942
yHRWh56,147.508
yHRWh56,91.998
yHRWh56,66.508
yHRWh56,65.214
yHRWh56,87.211
yHRWh56,104.808
yHRWh56,66.767
yHRWh56,75.695
yHRWh56,84.364
yHRWh56,63.144
yHRWh56,73.883
yHRWh56,83.588
yHRWh56,80.353
yHRWh56,82.811
yHRWh56,84.752
yHRWh56,67.284
yHRWh56,82.553
yHRWh56,86.823
