strain	r (estimated from SA)	mean measured SA	Volume (estimated from SA)	Genome size (Mbp)	SA fold increase from diploid	Vol fold increase from diploid	Genome size fold increase from diploid
yHRWh36	5.821911499	106.4831944	826.580807	79.61	2.326577425	3.548757021	3.26404264
yHRWh22	5.018374547	79.11813043	529.3924392	72.11	1.728671432	2.272839049	2.956539565
yHRWh56	5.003740661	78.65737662	524.7747091	70.8	1.718604309	2.253013762	2.902829028
yHRWh24	4.923093623	76.1423125	499.8075402	54.18	1.663652056	2.145822287	2.221402214
yHRWh39	4.618266259	67.00509211	412.5963889	66.52	1.464010687	1.7713989	2.727347273
yHRWh4	4.440813977	61.95481081	366.8396434	48.3	1.353665853	1.574951595	1.980319803
yHRWh7	4.3893693	60.52769231	354.2377855	48.3	1.322484391	1.520848074	1.980319803
yHRW134	3.816865394	45.76817143	232.9212178	24.39	1	1	1
